Time_s,MotionPhase,LeftSideSpeed_mps,RightSideSpeed_mps,LeftFrontRearWheelSpeed_radps,RightFrontRearWheelSpeed_radps,LinearSpeed_mps,IdealYawRate_radps,SkidAdjustedYawRate_radps,IdealX_m,IdealY_m,IdealHeading_rad,SkidX_m,SkidY_m,SkidHeading_rad
0,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0,0,0,0,0,0
0.02,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.005,0,0,0.005,0,0
0.04,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.01,0,0,0.01,0,0
0.06,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.015,0,0,0.015,0,0
0.08,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.02,0,0,0.02,0,0
0.1,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.025,0,0,0.025,0,0
0.12,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.03,0,0,0.03,0,0
0.14,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.035,0,0,0.035,0,0
0.16,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.04,0,0,0.04,0,0
0.18,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.045,0,0,0.045,0,0
0.2,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.05,0,0,0.05,0,0
0.22,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.055,0,0,0.055,0,0
0.24,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.06,0,0,0.06,0,0
0.26,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.065,0,0,0.065,0,0
0.28,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.07,0,0,0.07,0,0
0.3,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.075,0,0,0.075,0,0
0.32,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.08,0,0,0.08,0,0
0.34,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.085,0,0,0.085,0,0
0.36,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.09,0,0,0.09,0,0
0.38,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.095,0,0,0.095,0,0
0.4,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.1,0,0,0.1,0,0
0.42,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.105,0,0,0.105,0,0
0.44,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.11,0,0,0.11,0,0
0.46,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.115,0,0,0.115,0,0
0.48,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.12,0,0,0.12,0,0
0.5,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.125,0,0,0.125,0,0
0.52,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.13,0,0,0.13,0,0
0.54,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.135,0,0,0.135,0,0
0.56,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.14,0,0,0.14,0,0
0.58,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.145,0,0,0.145,0,0
0.6,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.15,0,0,0.15,0,0
0.62,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.155,0,0,0.155,0,0
0.64,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.16,0,0,0.16,0,0
0.66,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.165,0,0,0.165,0,0
0.68,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.17,0,0,0.17,0,0
0.7,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.175,0,0,0.175,0,0
0.72,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.18,0,0,0.18,0,0
0.74,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.185,0,0,0.185,0,0
0.76,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.19,0,0,0.19,0,0
0.78,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.195,0,0,0.195,0,0
0.8,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.2,0,0,0.2,0,0
0.82,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.205,0,0,0.205,0,0
0.84,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.21,0,0,0.21,0,0
0.86,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.215,0,0,0.215,0,0
0.88,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.22,0,0,0.22,0,0
0.9,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.225,0,0,0.225,0,0
0.92,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.23,0,0,0.23,0,0
0.94,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.235,0,0,0.235,0,0
0.96,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.24,0,0,0.24,0,0
0.98,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.245,0,0,0.245,0,0
1,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.25,0,0,0.25,0,0
1.02,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.255,0,0,0.255,0,0
1.04,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.26,0,0,0.26,0,0
1.06,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.265,0,0,0.265,0,0
1.08,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.27,0,0,0.27,0,0
1.1,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.275,0,0,0.275,0,0
1.12,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.28,0,0,0.28,0,0
1.14,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.285,0,0,0.285,0,0
1.16,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.29,0,0,0.29,0,0
1.18,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.295,0,0,0.295,0,0
1.2,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.3,0,0,0.3,0,0
1.22,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.305,0,0,0.305,0,0
1.24,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.31,0,0,0.31,0,0
1.26,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.315,0,0,0.315,0,0
1.28,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.32,0,0,0.32,0,0
1.3,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.325,0,0,0.325,0,0
1.32,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.33,0,0,0.33,0,0
1.34,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.335,0,0,0.335,0,0
1.36,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.34,0,0,0.34,0,0
1.38,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.345,0,0,0.345,0,0
1.4,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.35,0,0,0.35,0,0
1.42,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.355,0,0,0.355,0,0
1.44,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.36,0,0,0.36,0,0
1.46,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.365,0,0,0.365,0,0
1.48,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.37,0,0,0.37,0,0
1.5,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.375,0,0,0.375,0,0
1.52,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.38,0,0,0.38,0,0
1.54,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.385,0,0,0.385,0,0
1.56,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.39,0,0,0.39,0,0
1.58,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.395,0,0,0.395,0,0
1.6,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.4,0,0,0.4,0,0
1.62,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.405,0,0,0.405,0,0
1.64,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.41,0,0,0.41,0,0
1.66,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.415,0,0,0.415,0,0
1.68,Straight 1,0.25,0.25,7.14285714285714,7.14285714285714,0.25,0,0,0.42,0,0,0.42,0,0
