time_s,raw_az_m_s2,filtered_rms_m_s2,requested_m_s,baseline_m_s,adaptive_m_s,speed_scale,state
0.0,9.80665,0.0,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.02,9.8488663962751,0.025411344640535696,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.04,9.8518913526233,0.03280820545199274,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.06,9.812916661678214,0.028649449395585537,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.08,9.76812433786121,0.028659113232364343,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.1,9.759097174185241,0.03314321386197601,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.12,9.794215505641757,0.032341300529534336,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.14,9.840877355296433,0.03079566994404067,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.16,9.855764362536434,0.03227006439837527,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.18,9.825056227634233,0.03175097657525195,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.2,9.777260737385376,0.030691636080882125,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.22,9.756748663578586,0.03213023733524601,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.24,9.782562316294914,0.03230225120422079,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.26,9.830737683705085,0.03124618018668072,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.28,9.856551336421413,0.031931451309901264,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.3,9.836039262614623,0.03214654526706612,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.32,9.788243772365766,0.03126393349614578,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.34,9.757535637463565,0.03180302839431162,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.36,9.772422644703566,0.032268632568663844,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.38,9.819084494358242,0.031522536020507835,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.4,9.854202825814758,0.0317316294225781,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.42,9.84517566213879,0.0321967617540384,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.44,9.800383338321785,0.031587505221033124,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.46,9.7614086473767,0.031656533679946766,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.48,9.764433603724898,0.0321954359299886,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.5,9.80665,0.03173722393779654,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.52,9.8488663962751,0.03185806426907003,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.54,9.8518913526233,0.03208118247747639,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.56,9.812916661678214,0.03216352108879314,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.58,9.76812433786121,0.03214657666069948,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.6,9.759097174185241,0.0322385633883344,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.62,9.794215505641757,0.03156408371816623,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.64,9.840877355296433,0.03174275075085447,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.66,9.855764362536434,0.031956025616368344,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
0.68,9.825056227634233,0.032020616612275093,0.0,0.0,0.0,1.0,imu_warming_up_or_low_rate
